,dA,dB,c,sigma,Nsteps,Dt,S,Ntau,tau,rB
0,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,100.0,900.0,4.34558441227157,1.0
1,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,100.0,950.0,4.587005768508879,1.0
2,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,100.0,1000.0,4.828427124746189,1.0
3,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,100.0,1050.0,5.069848480983498,1.0
4,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,100.0,1100.0,5.311269837220808,1.0
5,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,101.0,900.0,4.34558441227157,1.004987562112089
6,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,101.0,950.0,4.587005768508879,1.004987562112089
7,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,101.0,1000.0,4.828427124746189,1.004987562112089
8,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,101.0,1050.0,5.069848480983498,1.004987562112089
9,0.20710678118654757,1.2071067811865475,0.25,0.2,100000.0,0.004828427124746189,101.0,1100.0,5.311269837220808,1.004987562112089
